group,metric,count,denominator,rate
native-overall,hit_at_4,17,18,0.9444444444444444
native-overall,evidence_coverage_at_4,14,18,0.7777777777777778
native-overall,answer_accuracy,11,18,0.6111111111111112
native-overall,false_refusal_rate,5,18,0.2777777777777778
native-overall,correct_refusal_rate,6,6,1.0
native-overall,unsupported_answer_rate,2,13,0.15384615384615385
native-nist-ai,hit_at_4,6,6,1.0
native-nist-ai,evidence_coverage_at_4,5,6,0.8333333333333334
native-nist-ai,answer_accuracy,3,6,0.5
native-nist-ai,false_refusal_rate,1,6,0.16666666666666666
native-nist-ai,correct_refusal_rate,2,2,1.0
native-nist-ai,unsupported_answer_rate,2,5,0.4
native-nist-csf,hit_at_4,5,6,0.8333333333333334
native-nist-csf,evidence_coverage_at_4,3,6,0.5
native-nist-csf,answer_accuracy,3,6,0.5
native-nist-csf,false_refusal_rate,3,6,0.5
native-nist-csf,correct_refusal_rate,2,2,1.0
native-nist-csf,unsupported_answer_rate,0,3,0.0
native-osha,hit_at_4,6,6,1.0
native-osha,evidence_coverage_at_4,6,6,1.0
native-osha,answer_accuracy,5,6,0.8333333333333334
native-osha,false_refusal_rate,1,6,0.16666666666666666
native-osha,correct_refusal_rate,2,2,1.0
native-osha,unsupported_answer_rate,0,5,0.0
ocr-overall,hit_at_4,0,0,
ocr-overall,evidence_coverage_at_4,0,0,
ocr-overall,answer_accuracy,0,0,
ocr-overall,false_refusal_rate,0,0,
ocr-overall,correct_refusal_rate,0,0,
ocr-overall,unsupported_answer_rate,0,0,
ocr-scan,hit_at_4,0,0,
ocr-scan,evidence_coverage_at_4,0,0,
ocr-scan,answer_accuracy,0,0,
ocr-scan,false_refusal_rate,0,0,
ocr-scan,correct_refusal_rate,0,0,
ocr-scan,unsupported_answer_rate,0,0,
ocr-mixed,hit_at_4,0,0,
ocr-mixed,evidence_coverage_at_4,0,0,
ocr-mixed,answer_accuracy,0,0,
ocr-mixed,false_refusal_rate,0,0,
ocr-mixed,correct_refusal_rate,0,0,
ocr-mixed,unsupported_answer_rate,0,0,
